Id,Id2,Geography,Total
8600000US89010,89010,ZCTA5 89010,415
8600000US89019,89019,ZCTA5 89019,2673
8600000US89060,89060,ZCTA5 89060,10227
8600000US89061,89061,ZCTA5 89061,5252
8600000US89439,89439,ZCTA5 89439,1417
8600000US90001,90001,ZCTA5 90001,57110
8600000US90002,90002,ZCTA5 90002,51223
8600000US90003,90003,ZCTA5 90003,66266
8600000US90004,90004,ZCTA5 90004,62180
8600000US90005,90005,ZCTA5 90005,37681
8600000US90006,90006,ZCTA5 90006,59185
8600000US90007,90007,ZCTA5 90007,40920
8600000US90008,90008,ZCTA5 90008,32327
8600000US90010,90010,ZCTA5 90010,3800
8600000US90011,90011,ZCTA5 90011,103892
8600000US90012,90012,ZCTA5 90012,31103
8600000US90013,90013,ZCTA5 90013,11772
8600000US90014,90014,ZCTA5 90014,7005
8600000US90015,90015,ZCTA5 90015,18986
8600000US90016,90016,ZCTA5 90016,47596
8600000US90017,90017,ZCTA5 90017,23768
8600000US90018,90018,ZCTA5 90018,49310
8600000US90019,90019,ZCTA5 90019,64458
8600000US90020,90020,ZCTA5 90020,38967
8600000US90021,90021,ZCTA5 90021,3951
8600000US90022,90022,ZCTA5 90022,67179
8600000US90023,90023,ZCTA5 90023,45903
8600000US90024,90024,ZCTA5 90024,47452
8600000US90025,90025,ZCTA5 90025,42147
8600000US90026,90026,ZCTA5 90026,67869
8600000US90027,90027,ZCTA5 90027,45151
8600000US90028,90028,ZCTA5 90028,28714
8600000US90029,90029,ZCTA5 90029,38617
8600000US90031,90031,ZCTA5 90031,39316
8600000US90032,90032,ZCTA5 90032,45786
8600000US90033,90033,ZCTA5 90033,48852
8600000US90034,90034,ZCTA5 90034,57964
8600000US90035,90035,ZCTA5 90035,28418
8600000US90036,90036,ZCTA5 90036,36865
8600000US90037,90037,ZCTA5 90037,62276
8600000US90038,90038,ZCTA5 90038,28917
8600000US90039,90039,ZCTA5 90039,28514
8600000US90040,90040,ZCTA5 90040,12520
8600000US90041,90041,ZCTA5 90041,27425
8600000US90042,90042,ZCTA5 90042,62430
8600000US90043,90043,ZCTA5 90043,44789
8600000US90044,90044,ZCTA5 90044,89779
8600000US90045,90045,ZCTA5 90045,39480
8600000US90046,90046,ZCTA5 90046,48581
8600000US90047,90047,ZCTA5 90047,48606
8600000US90048,90048,ZCTA5 90048,21397
8600000US90049,90049,ZCTA5 90049,35482
8600000US90056,90056,ZCTA5 90056,7827
8600000US90057,90057,ZCTA5 90057,44998
8600000US90058,90058,ZCTA5 90058,3223
8600000US90059,90059,ZCTA5 90059,40952
8600000US90061,90061,ZCTA5 90061,26872
8600000US90062,90062,ZCTA5 90062,32821
8600000US90063,90063,ZCTA5 90063,55758
8600000US90064,90064,ZCTA5 90064,25403
8600000US90065,90065,ZCTA5 90065,45527
8600000US90066,90066,ZCTA5 90066,55277
8600000US90067,90067,ZCTA5 90067,2424
8600000US90068,90068,ZCTA5 90068,22286
8600000US90069,90069,ZCTA5 90069,20483
8600000US90071,90071,ZCTA5 90071,15
8600000US90073,90073,ZCTA5 90073,539
8600000US90077,90077,ZCTA5 90077,9377
8600000US90079,90079,ZCTA5 90079,0
8600000US90089,90089,ZCTA5 90089,3217
8600000US90090,90090,ZCTA5 90090,0
8600000US90094,90094,ZCTA5 90094,5464
8600000US90095,90095,ZCTA5 90095,3
8600000US90201,90201,ZCTA5 90201,101279
8600000US90210,90210,ZCTA5 90210,21741
8600000US90211,90211,ZCTA5 90211,8434
8600000US90212,90212,ZCTA5 90212,11555
8600000US90220,90220,ZCTA5 90220,49328
8600000US90221,90221,ZCTA5 90221,53704
8600000US90222,90222,ZCTA5 90222,31869
8600000US90230,90230,ZCTA5 90230,31766
8600000US90232,90232,ZCTA5 90232,15149
8600000US90240,90240,ZCTA5 90240,25876
8600000US90241,90241,ZCTA5 90241,42399
8600000US90242,90242,ZCTA5 90242,43497
8600000US90245,90245,ZCTA5 90245,16654
8600000US90247,90247,ZCTA5 90247,47487
8600000US90248,90248,ZCTA5 90248,9947
8600000US90249,90249,ZCTA5 90249,26669
8600000US90250,90250,ZCTA5 90250,93193
8600000US90254,90254,ZCTA5 90254,19506
8600000US90255,90255,ZCTA5 90255,75066
8600000US90260,90260,ZCTA5 90260,34924
8600000US90262,90262,ZCTA5 90262,69745
8600000US90263,90263,ZCTA5 90263,1612
8600000US90265,90265,ZCTA5 90265,18116
8600000US90266,90266,ZCTA5 90266,35135
8600000US90270,90270,ZCTA5 90270,27372
8600000US90272,90272,ZCTA5 90272,22986
8600000US90274,90274,ZCTA5 90274,25209
8600000US90275,90275,ZCTA5 90275,41804
8600000US90277,90277,ZCTA5 90277,35293
8600000US90278,90278,ZCTA5 90278,40071
8600000US90280,90280,ZCTA5 90280,94396
8600000US90290,90290,ZCTA5 90290,6368
8600000US90291,90291,ZCTA5 90291,28341
8600000US90292,90292,ZCTA5 90292,21576
8600000US90293,90293,ZCTA5 90293,12132
8600000US90301,90301,ZCTA5 90301,36568
8600000US90302,90302,ZCTA5 90302,29415
8600000US90303,90303,ZCTA5 90303,26176
8600000US90304,90304,ZCTA5 90304,28210
8600000US90305,90305,ZCTA5 90305,14853
8600000US90401,90401,ZCTA5 90401,6722
8600000US90402,90402,ZCTA5 90402,12250
8600000US90403,90403,ZCTA5 90403,24525
8600000US90404,90404,ZCTA5 90404,21360
8600000US90405,90405,ZCTA5 90405,27186
8600000US90501,90501,ZCTA5 90501,43180
8600000US90502,90502,ZCTA5 90502,18010
8600000US90503,90503,ZCTA5 90503,44383
8600000US90504,90504,ZCTA5 90504,32102
8600000US90505,90505,ZCTA5 90505,36678
8600000US90506,90506,ZCTA5 90506,0
8600000US90601,90601,ZCTA5 90601,31974
8600000US90602,90602,ZCTA5 90602,25777
8600000US90603,90603,ZCTA5 90603,20063
8600000US90604,90604,ZCTA5 90604,39407
8600000US90605,90605,ZCTA5 90605,40331
8600000US90606,90606,ZCTA5 90606,32396
8600000US90620,90620,ZCTA5 90620,45113
8600000US90621,90621,ZCTA5 90621,35153
8600000US90623,90623,ZCTA5 90623,15554
8600000US90630,90630,ZCTA5 90630,47993
8600000US90631,90631,ZCTA5 90631,67619
8600000US90638,90638,ZCTA5 90638,49012
8600000US90640,90640,ZCTA5 90640,62549
8600000US90650,90650,ZCTA5 90650,105549
8600000US90660,90660,ZCTA5 90660,62928
